web-scraper-order,web-scraper-start-url,films_items,films_items-href,Film_Title,Year,Realisator,Note,Number_of_views,Metascore
"1676580318-51","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Shot Caller","https://www.imdb.com/title/tt4633690/?ref_=adv_li_tt","Shot Caller","2017","Ric Roman Waugh","7.3","89K","59"
"1676580320-52","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Orville","https://www.imdb.com/title/tt5691552/?ref_=adv_li_tt","The Orville","null","Seth MacFarlane","8.0","90K","null"
"1676580323-53","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Spoils of War","https://www.imdb.com/title/tt5775846/?ref_=adv_li_tt","The Spoils of War","null","Matt Shakman","9.7","90K","null"
"1676580325-54","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Game of Thrones","https://www.imdb.com/title/tt0944947/?ref_=adv_li_tt","Game of Thrones","null","David Benioff","9.2","2.1M","null"
"1676580327-55","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Atypical","https://www.imdb.com/title/tt6315640/?ref_=adv_li_tt","Atypical","null","Robia Rashid","8.2","92K","null"
"1676580329-56","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Legion","https://www.imdb.com/title/tt5114356/?ref_=adv_li_tt","Legion","null","Noah Hawley","8.2","93K","null"
"1676580332-57","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","xXx: Return of Xander Cage","https://www.imdb.com/title/tt1293847/?ref_=adv_li_tt","xXx: Return of Xander Cage","2017","D.J. Caruso","5.2","94K","42"
"1676580334-58","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Circle","https://www.imdb.com/title/tt4287320/?ref_=adv_li_tt","The Circle","2017","James Ponsoldt","5.3","94K","43"
"1676580336-59","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","It Comes at Night","https://www.imdb.com/title/tt4695012/?ref_=adv_li_tt","It Comes at Night","2017","Trey Edward Shults","6.2","96K","78"
"1676580338-60","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Babysitter","https://www.imdb.com/title/tt4225622/?ref_=adv_li_tt","The Babysitter","2017","McG","6.3","97K","null"
"1676580340-61","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Good Doctor","https://www.imdb.com/title/tt6470478/?ref_=adv_li_tt","The Good Doctor","null","David Shore","8.1","98K","null"
"1676580343-62","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Baahubali 2: The Conclusion","https://www.imdb.com/title/tt4849438/?ref_=adv_li_tt","Baahubali 2: The Conclusion","2017","S.S. Rajamouli","8.2","104K","null"
"1676580345-63","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Cars 3","https://www.imdb.com/title/tt3606752/?ref_=adv_li_tt","Cars 3","2017","Brian Fee","6.7","105K","59"
"1676580348-64","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Fifty Shades Darker","https://www.imdb.com/title/tt4465564/?ref_=adv_li_tt","Fifty Shades Darker","2017","James Foley","4.6","105K","33"
"1676580350-65","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Ritual","https://www.imdb.com/title/tt5638642/?ref_=adv_li_tt","The Ritual","2017","David Bruckner","6.3","105K","57"
"1676580353-66","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Death of Stalin","https://www.imdb.com/title/tt4686844/?ref_=adv_li_tt","The Death of Stalin","2017","Armando Iannucci","7.2","105K","88"
"1676580355-67","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Power Rangers","https://www.imdb.com/title/tt3717490/?ref_=adv_li_tt","Power Rangers","2017","Dean Israelite","5.9","110K","44"
"1676580357-68","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","The Defenders","https://www.imdb.com/title/tt4230076/?ref_=adv_li_tt","The Defenders","null","Douglas Petrie","7.2","110K","null"
"1676580359-69","https://www.imdb.com/search/title/?release_date=2017-01-01,2017-12-31&sort=num_votes,desc&start=51&ref_=adv_nxt","Geostorm","https://www.imdb.com/title/tt1981128/?ref_=adv_li_tt","Geostorm","2017","Dean Devlin","5.3","111K","21"
